AccidentID,CarID,Date,Severity,Description,RepairCost
A50378,C33554,2025-02-25,Major,Front-end collision,715.0
A50379,C33554,2023-01-01,Severe,Windshield damage,4914.0
A14186,C09428,2022-12-05,Moderate,Minor fender bender,4469.0
A14187,C09428,2023-04-04,Severe,Door dent from tight parking,3468.0
A00295,C00200,2023-12-14,Moderate,Front bumper scrape,2625.0
A18787,C12448,2025-05-09,Moderate,Scratched paint on rear bumper,1142.0
A64338,C42725,2025-03-19,Minor,Rear bumper collision,2365.0
A64339,C42725,2025-03-13,Severe,Minor fender bender,3433.0
A16316,C10823,2021-02-18,Major,Front-end collision,1675.0
A16317,C10823,2021-05-30,Moderate,Front-end collision,3067.0
A06156,C04145,2022-10-23,Moderate,Fender scratch from curb,2217.0
A06157,C04145,2025-01-29,Minor,Rear quarter panel dent,3514.0
A64895,C43107,2023-02-19,Minor,Parking lot scrape,2135.0
A58169,C38696,2023-04-03,Moderate,Side swipe from passing vehicle,3118.0
A09255,C06189,2023-07-23,Major,Side panel scratch,1425.0
A09256,C06189,2022-01-24,Moderate,Side swipe from passing vehicle,3348.0
A02031,C01415,2023-07-28,Major,Scratched paint on rear bumper,3895.0
A02032,C01415,2022-03-24,Severe,Fender scratch from curb,2375.0
A27739,C18472,2025-02-20,Major,Scratched paint on rear bumper,4916.0
A27740,C18472,2024-10-28,Minor,Door dent from tight parking,649.0
A27741,C18472,2025-02-17,Major,Front bumper scrape,3853.0
A44011,C29283,2021-06-07,Moderate,Rear quarter panel dent,824.0
A22866,C15178,2023-12-06,Severe,Accident on slippery road,821.0
A22867,C15178,2024-08-06,Moderate,Accident on slippery road,2745.0
A51537,C34305,2021-01-08,Major,Side mirror broken,3119.0
A19033,C12610,2025-01-14,Major,Accident on slippery road,2461.0
A09141,C06114,2023-05-15,Severe,Rear-end hit at traffic light,1618.0
A23925,C15909,2023-11-24,Severe,Accident on slippery road,4280.0
A23926,C15909,2022-07-24,Major,Front bumper scrape,1230.0
A01188,C00822,2022-11-01,Minor,Rear quarter panel dent,989.0
A01189,C00822,2021-05-09,Minor,Rear-end hit at traffic light,3414.0
A01190,C00822,2025-03-18,Minor,Rear quarter panel dent,131.0
A20287,C13467,2024-03-25,Moderate,Scratched paint on rear bumper,1319.0
A39857,C26498,2021-03-03,Moderate,Minor fender bender,2407.0
A39858,C26498,2020-10-13,Major,Rear quarter panel dent,2562.0
A39859,C26498,2022-01-16,Moderate,Tire puncture during accident,447.0
A63392,C42112,2020-09-01,Minor,Rear bumper collision,2994.0
A63393,C42112,2023-02-20,Severe,Rear bumper collision,3100.0
A63394,C42112,2022-02-17,Major,Tire puncture during accident,1608.0
A45333,C30189,2020-11-11,Major,Minor fender bender,4442.0
A45334,C30189,2024-03-29,Severe,Rear quarter panel dent,1993.0
A55954,C37238,2024-01-14,Moderate,Minor fender bender,3540.0
A55955,C37238,2023-12-18,Severe,Accident on slippery road,2606.0
A55956,C37238,2025-01-02,Moderate,Fender scratch from curb,2348.0
A49725,C33110,2023-01-04,Minor,Parking lot scrape,2951.0
A49726,C33110,2024-09-06,Major,Hood dent from minor crash,3352.0
A54792,C36481,2022-08-25,Severe,Head-on collision,4987.0
A54793,C36481,2022-02-26,Severe,Windshield damage,2053.0
A54794,C36481,2024-06-29,Major,Accident on slippery road,1055.0
A36279,C24149,2024-11-30,Major,Damage from pothole incident,3195.0
A36280,C24149,2023-05-12,Moderate,Door dent from tight parking,2954.0
A05823,C03919,2025-04-17,Major,Rear-end hit at traffic light,1818.0
A05824,C03919,2022-10-14,Moderate,Side mirror broken,3846.0
A57828,C38479,2023-12-20,Major,Scratched paint on rear bumper,684.0
A63665,C42295,2021-10-18,Major,Minor parking lot accident,4062.0
A71591,C47610,2023-03-03,Moderate,Door dent from tight parking,2055.0
A71592,C47610,2021-04-24,Severe,Minor parking lot accident,3876.0
A16719,C11077,2023-02-01,Major,Rear-end hit at traffic light,3057.0
A62456,C41515,2023-04-26,Major,Windshield damage,2463.0
A57609,C38341,2025-02-20,Severe,Hood dent from minor crash,977.0
A45441,C30264,2021-09-21,Severe,Rear quarter panel dent,4903.0
A62052,C41253,2024-03-03,Minor,Rear quarter panel dent,1631.0
A62053,C41253,2021-03-21,Severe,Minor collision at roundabout,4720.0
A22097,C14645,2022-01-03,Major,Damage from pothole incident,3175.0
A22098,C14645,2022-11-12,Severe,Side panel scratch,1405.0
A22099,C14645,2023-06-20,Minor,Minor fender bender,3456.0
A39625,C26336,2025-03-18,Major,Rear-end hit at traffic light,2669.0
A39626,C26336,2021-01-24,Severe,Tire puncture during accident,1162.0
A39627,C26336,2023-05-25,Moderate,Rear quarter panel dent,1983.0
A42258,C28103,2024-11-10,Severe,Side swipe from passing vehicle,2940.0
A42259,C28103,2023-08-30,Major,Minor parking lot accident,522.0
A42260,C28103,2021-06-21,Severe,Collision with pole,3123.0
A37094,C24713,2021-09-06,Moderate,Side mirror broken,2429.0
A60912,C40486,2021-03-28,Moderate,Front-end collision,3033.0
A05734,C03851,2022-07-23,Severe,Fender scratch from curb,621.0
