CarID,FeatureID
C33554,0
C33554,1
C09428,0
C09428,1
C09428,2
C00200,0
C00200,3
C00200,4
C00200,2
C12448,1
C12448,4
C12448,5
C12448,0
C39490,5
C42725,2
C42725,0
C42725,5
C10823,2
C10823,1
C49499,4
C49499,5
C04145,0
C04145,4
C36959,4
C36959,0
C36959,5
C43107,3
C43107,0
C38696,5
C06189,5
C06189,2
C06189,4
C01415,3
C18472,0
C18472,4
C18472,1
C18472,2
C29283,4
C15178,4
C15178,2
C15178,0
C34305,3
C12610,1
C12610,2
C12145,3
C12145,1
C12145,5
C12145,0
C06114,2
C06114,0
C06114,5
C15909,0
C00822,4
C00822,5
C15119,0
C15119,2
C13467,2
C13467,3
C26498,1
C42112,3
C42112,1
C42112,4
C42112,0
C30189,5
C30189,0
C30189,4
C37238,3
C33110,5
C33110,4
C36481,4
C36481,1
C36481,0
C24149,2
C05504,0
C05504,5
C03919,1
C03919,5
C03919,3
C38479,0
C38479,3
C38479,5
C38479,2
C21124,4
C49718,0
C49718,1
C49718,2
C42295,2
C42295,1
C47610,4
C11077,3
C11077,1
C11077,0
C41515,3
C22063,1
C09414,2
C09414,3
C09414,5
C38341,0
C30264,1
C30264,2
C30264,5
C30264,0
C41253,4
C41253,3
C14645,1
C14645,5
C14645,2
C14645,4
C26336,0
C26336,3
C26336,2
C28103,2
C17524,0
C17524,1
C17524,5
C17524,2
C24713,1
C24713,5
C24713,2
C24713,4
C40486,1
C03851,2
C03851,3
C03851,0
C03851,4
C40041,0
C40041,4
C40041,2
C40041,1
C15268,0
C15268,1
C49147,5
C49147,4
C49147,2
C30002,3
C30002,4
C30002,0
C30002,5
C45927,2
C45927,3
C45927,0
C45927,5
C43825,1
C17241,5
C17241,0
C17241,2
C04893,1
C04893,3
C00726,1
C00726,5
C00726,3
C22950,3
C22950,0
C22950,2
C22950,1
C34658,4
C34658,2
C34658,3
C37214,3
C20305,3
C20305,2
C15270,5
C22368,4
C22368,5
C42685,5
C46735,2
C11733,4
C11733,1
C11733,2
C11733,0
C18620,0
C48493,0
C48493,2
C48493,5
C48493,3
C26804,0
C26804,4
C26804,3
C44306,4
C44306,2
C44306,0
C47523,3
C32208,5
C32208,4
C02531,3
C02531,0
C02531,2
C17747,5
C17747,4
C08271,5
C08271,0
C08271,1
C08271,3
C15080,4
C15080,1
C15080,2
C15080,5
C13625,4
C13625,3
C13625,0
C30639,5
C30639,1
C30639,4
C30441,4
C30441,3
C36057,3
C42652,4
C42652,2
C42652,1
C36804,5
C48225,0
C48225,2
C48225,3
C29227,0
C05634,5
C05634,3
C05634,1
C05634,4
C05988,3
C05988,4
C05988,0
C48064,3
C01813,4
C01813,3
C27579,0
C27579,3
C16824,3
C03929,3
C03929,5
C37287,4
C37287,2
C37287,3
C25046,3
C25046,2
C15728,3
C15728,0
C15728,2
C15728,5
C29601,3
C29601,4
C29601,0
C10431,0
C10431,2
C25769,1
C25769,4
C25769,3
C29104,1
C36538,1
C36538,4
C36538,5
C36538,2
C39329,5
C39329,1
C39329,3
C35540,1
C35540,2
C35540,3
C28076,1
C28076,2
C28076,4
C17841,1
C17841,3
C17841,0
C17841,2
C27803,4
C27803,0
C07683,4
C07683,5
C07683,3
C07683,1
C24280,0
C33071,0
C33071,2
C33071,3
C33071,5
C35558,5
C35558,3
C37190,5
C47150,3
C47150,5
C47150,0
C47150,1
C46916,1
C46916,0
C09802,5
C09802,2
C38801,4
C24670,2
C24670,1
C24670,0
C44234,2
C44234,4
C44234,5
C31920,4
C31920,1
C31920,0
C31920,2
C07135,0
C33705,5
C33705,4
C33705,3
C29661,3
C29661,2
C29661,5
C17894,5
C22019,3
C13539,0
C13539,2
C43119,0
C43119,5
C43119,2
C36421,1
C36421,3
C36421,0
C36421,4
C09406,4
C09406,5
C09406,1
C13414,3
C13414,4
C06721,3
C06721,5
C15602,5
C15602,3
C15602,1
C44744,2
C44744,5
C31139,1
C02730,4
C38243,3
C38243,2
C38243,4
C38243,1
C29626,4
C29626,0
C29626,2
C29626,3
C47895,4
C47895,2
C42091,1
C42091,0
C42091,3
C36400,2
C36400,4
C36400,0
C06245,5
C06245,1
C05546,4
C04065,5
C04065,1
C04065,2
C04065,0
C12852,1
C21803,4
C41164,2
C41164,5
C06233,3
C06233,4
C06233,5
C06233,0
C03863,5
C03863,3
C35095,4
C35095,5
C35095,3
C35095,0
C40196,2
C40196,3
C40196,0
C39251,4
C06218,1
C36776,5
C36776,4
C36776,2
C36776,3
C42977,4
C48468,5
C48468,2
C48468,0
C14832,1
C14832,2
C14832,5
C30093,3
C08894,3
C08894,2
C08894,5
C08894,4
C06021,2
C46089,4
C46089,2
C46089,3
C15243,3
C45308,3
C45308,1
C45308,0
C26551,2
C26551,5
C26551,4
C06035,0
C06035,2
C06035,1
C07906,0
C07906,4
C07906,5
C07906,3
C32226,0
C32226,4
C06018,4
C06018,2
C06018,1
C06018,3
C21880,5
C21880,0
C21880,1
C21880,3
C02792,2
C02792,0
C02792,4
