CarID,ManufacturerID,Model,EngineSize,FuelType,YearOfManufacture,Mileage,Price,DealerID
C33554,3,RAV4,2.4,Hybrid,2020,21317,68597,34
C09428,1,Focus,1.8,Petrol,2018,22500,35276,46
C00200,1,Mondeo,1.6,Diesel,2013,79521,17370,20
C12448,3,Yaris,1.2,Petrol,2003,159534,3213,36
C39490,1,Mondeo,1.4,Diesel,2000,126511,4832,45
C42725,3,Prius,1.8,Hybrid,2008,116195,12110,45
C10823,4,Polo,2.0,Petrol,1997,187190,1948,45
C49499,3,RAV4,2.0,Hybrid,2004,111729,11887,47
C04145,4,Golf,1.6,Petrol,2005,120820,6083,8
C36959,3,Yaris,1.4,Petrol,2001,93427,5081,38
C43107,3,RAV4,2.0,Hybrid,1999,141271,6765,28
C38696,1,Mondeo,1.4,Diesel,1999,134793,4235,39
C06189,4,Passat,1.8,Diesel,1996,103099,5296,11
C01415,4,Golf,1.2,Petrol,1989,121692,1801,38
C18472,3,Prius,1.0,Hybrid,2020,17010,38572,13
C29283,4,Golf,2.0,Petrol,2017,47438,25244,40
C15178,3,RAV4,2.2,Hybrid,2007,69317,20591,4
C34305,3,Prius,1.4,Hybrid,2013,63590,21651,47
C12610,4,Passat,2.0,Diesel,2004,103927,9459,43
C12145,1,Mondeo,1.8,Diesel,2001,222751,2589,20
C06114,1,Focus,2.0,Petrol,2002,39712,11587,22
C15909,3,Yaris,1.0,Petrol,2003,80459,5376,20
C00822,4,Polo,1.0,Petrol,1995,168060,1420,1
C15119,1,Fiesta,1.2,Petrol,1994,102413,2386,42
C13467,1,Mondeo,1.8,Diesel,1999,120608,5366,14
C26498,4,Passat,1.4,Diesel,1998,125434,4506,49
C42112,0,Z4,2.4,Petrol,2005,172021,6462,34
C30189,4,Golf,1.8,Diesel,2013,28330,21573,15
C37238,3,RAV4,1.8,Hybrid,2006,121540,11957,45
C33110,4,Polo,1.2,Petrol,2020,25702,22880,3
C36481,1,Mondeo,1.6,Diesel,2001,117716,5910,25
C24149,1,Fiesta,1.0,Petrol,2015,79169,10426,42
C05504,3,RAV4,1.8,Petrol,1995,178581,3004,16
C03919,4,Golf,1.6,Petrol,2001,136293,4127,31
C38479,1,Focus,1.4,Petrol,2012,86919,13876,11
C21124,1,Mondeo,1.8,Hybrid,2001,48482,11592,28
C49718,4,Polo,1.4,Petrol,2016,30900,18376,44
C42295,1,Focus,1.8,Petrol,1990,119469,2855,2
C47610,4,Passat,1.8,Diesel,2021,10523,50532,11
C11077,4,Passat,1.8,Diesel,2004,152139,6156,13
C41515,0,X3,2.0,Diesel,2006,54504,16805,4
C22063,4,Golf,1.6,Petrol,2005,63240,9177,37
C09414,4,Golf,1.4,Petrol,1988,226696,747,8
C38341,4,Passat,2.0,Petrol,2001,133436,5883,2
C30264,2,Cayenne,3.5,Diesel,2016,54760,58952,48
C41253,1,Mondeo,1.6,Diesel,2008,68737,13389,31
C14645,4,Passat,1.8,Petrol,2015,47828,26058,37
C26336,3,Prius,1.0,Hybrid,1992,202267,1523,6
C28103,1,Mondeo,1.6,Diesel,1998,183360,2831,12
C17524,2,Cayenne,4.0,Petrol,2006,92627,23857,43
C24713,1,Focus,1.6,Hybrid,2021,11987,51610,14
C40486,1,Mondeo,2.0,Diesel,2014,61295,23451,42
C03851,3,Prius,1.0,Hybrid,1994,112795,3642,10
C40041,4,Polo,1.6,Petrol,1995,189526,1494,40
C15268,1,Focus,1.6,Diesel,2003,61546,10151,27
C49147,0,M5,4.4,Petrol,1998,175373,9616,33
C30002,1,Focus,1.8,Petrol,2002,128295,5935,3
C45927,1,Fiesta,1.4,Petrol,2002,126595,3658,19
C43825,1,Mondeo,1.6,Diesel,1998,115774,4911,39
C17241,0,M5,5.0,Petrol,2002,111256,22436,27
C04893,1,Mondeo,1.8,Diesel,2006,134337,7687,40
C00726,4,Polo,1.4,Petrol,1986,260477,404,18
C22950,4,Polo,1.2,Petrol,2020,18048,23872,43
C34658,1,Focus,1.4,Diesel,2015,27281,26036,21
C37214,4,Polo,1.2,Petrol,2001,100417,3963,1
C20305,1,Focus,2.0,Diesel,2003,96636,8916,2
C15270,3,Yaris,1.4,Petrol,1991,205293,1052,34
C22368,3,RAV4,2.4,Hybrid,2006,78198,18946,9
C42685,1,Mondeo,1.8,Petrol,2018,20250,35392,46
C46735,4,Golf,1.2,Petrol,2016,32228,20035,5
C11733,4,Polo,1.4,Petrol,2018,30622,21030,26
C18620,4,Polo,2.0,Petrol,2017,28811,23761,19
C48493,0,M5,5.0,Petrol,2014,47726,77284,49
C26804,1,Mondeo,1.6,Petrol,1993,101956,3716,0
C44306,4,Golf,1.6,Petrol,1992,97933,3035,47
C47523,4,Passat,1.4,Diesel,2008,90039,11427,44
C32208,3,Yaris,1.4,Hybrid,1995,153954,2559,20
C02531,1,Fiesta,1.2,Petrol,2001,169486,2234,38
C17747,4,Golf,1.6,Diesel,1984,132809,1434,27
C08271,4,Golf,2.0,Petrol,1991,186523,1559,4
C15080,0,Z4,3.0,Petrol,2007,72391,17754,31
C13625,3,Prius,1.4,Hybrid,1989,235879,1090,2
C30639,3,Yaris,1.2,Petrol,2012,64730,11931,10
C30441,3,Prius,1.4,Hybrid,1997,131620,4551,25
C36057,4,Passat,1.8,Diesel,1995,184914,2562,12
C42652,3,RAV4,2.2,Hybrid,2013,76610,29243,5
C36804,4,Passat,2.0,Petrol,2015,31043,30364,42
C48225,3,Prius,1.4,Hybrid,1996,99271,5444,40
C29227,0,Z4,2.0,Petrol,2000,129137,6002,35
C05634,1,Fiesta,1.2,Petrol,2017,15811,19276,1
C05988,3,Prius,1.4,Hybrid,2021,7229,51382,47
C48064,1,Mondeo,1.6,Diesel,2018,29353,33290,26
C01813,3,RAV4,2.0,Hybrid,2018,46665,47262,13
C27579,3,Prius,1.8,Hybrid,1994,230780,1808,42
C16824,1,Fiesta,1.0,Petrol,2000,123811,2764,47
C03929,3,Yaris,1.4,Petrol,2002,91399,5511,28
C37287,3,Prius,1.4,Hybrid,1990,244406,1078,16
C25046,1,Mondeo,1.4,Diesel,2013,47829,19989,24
C15728,1,Mondeo,1.8,Diesel,1996,85687,5682,29
C29601,0,X3,2.0,Diesel,1990,212400,1682,19
C10431,1,Fiesta,1.4,Petrol,1988,92266,1860,17
C25769,1,Fiesta,1.4,Petrol,2017,30751,19155,23
C29104,3,Yaris,1.4,Hybrid,2005,169013,4396,6
C36538,4,Golf,1.2,Petrol,2018,13452,25416,3
C39329,4,Golf,1.4,Petrol,2016,45075,20047,19
C35540,4,Golf,1.8,Diesel,2007,122490,7642,0
